time_index,X,Y,Z,R,G,B,time
0000,-31.08385086,29.65549278,8.56377888,0,250,250,00:00
0001,-30.93172916,28.93014359,8.37605345,0,250,250,00:01
0002,-30.45422459,27.80642804,8.23937555,0,250,250,00:02
0003,-29.52863818,26.63222081,8.24290180,0,250,250,00:03
0004,-28.28030216,25.69882842,8.28513880,0,250,250,00:04
0006,-28.42338499,23.08544191,7.60348201,0,250,250,00:06
0007,-25.22428751,22.27138400,7.32695359,0,250,250,00:07
0008,-22.27121353,21.60062719,7.12321824,0,250,250,00:08
0009,-19.39642819,21.00248250,7.04409920,0,250,250,00:09
0010,-16.23769188,20.49226125,7.02483728,0,250,250,00:10
0011,-13.03686469,20.18958773,7.15492269,0,250,250,00:11
0012,-10.21420161,20.07179197,7.45327616,0,250,250,00:12
0013,-7.35085456,19.86475086,7.61454932,0,250,250,00:13
0014,-4.63568192,19.35937099,7.79140949,0,250,250,00:14
0015,-1.64011046,18.97779513,7.87374967,0,250,250,00:15
0016,1.45157542,18.61619786,7.88787774,0,250,250,00:16
0017,4.37731091,18.61203711,8.05719771,0,250,250,00:17
0018,7.12342269,18.57395757,8.24317036,0,250,250,00:18
0019,10.02712526,18.60297375,8.25904031,0,250,250,00:19
0020,12.72686968,18.52459278,8.42473841,0,250,250,00:20
0021,15.95285497,17.62936865,8.45315075,0,250,250,00:21
0022,18.57684183,16.73488641,8.12982726,0,250,250,00:22
0023,21.63224496,16.01128938,7.91067144,0,250,250,00:23
0024,24.60763041,15.42812051,7.83186669,0,250,250,00:24
0029,39.36656570,13.27846074,8.11416602,0,250,250,00:29
0030,41.79719364,13.51236029,8.14273026,0,250,250,00:30
0031,44.87880221,13.99036156,8.18334380,0,250,250,00:31
0032,47.30041414,14.46514247,8.21781944,0,250,250,00:32
0033,49.78081589,14.96812153,8.26209416,0,250,250,00:33
0034,52.19225457,15.34716048,8.21697789,0,250,250,00:34
0035,54.19676833,15.43915137,8.18816345,0,250,250,00:35
0036,56.38774109,15.40403253,8.15870029,0,250,250,00:36
0037,59.07290459,15.49932305,8.14155523,0,250,250,00:37
0038,61.74330807,15.53278351,8.18147425,0,250,250,00:38
0039,64.36121909,15.34276040,8.16801699,0,250,250,00:39
0040,67.09941514,15.09466608,8.19071500,0,250,250,00:40
0041,69.85240046,15.00253618,8.21481860,0,250,250,00:41
0042,72.53887908,14.95199748,8.22520487,0,250,250,00:42
0043,75.38878155,14.89587998,8.20631862,0,250,250,00:43
0044,78.18882020,14.99816318,8.13032647,0,250,250,00:44
0045,80.80019633,15.27062039,8.29362841,0,250,250,00:45
0046,83.19763215,15.34533938,8.39837456,0,250,250,00:46
0047,85.68923623,15.38635358,8.42481195,0,250,250,00:47
0048,88.16052755,15.57112017,8.43793338,0,250,250,00:48
0049,90.60934224,15.95956017,8.42786088,0,250,250,00:49
0050,93.06339041,16.36048770,8.43489492,0,250,250,00:50
0051,95.69484456,16.87105362,8.41875565,0,250,250,00:51
0052,98.26482900,17.58866493,8.42118370,0,250,250,00:52
0053,100.72124227,18.38462083,8.42869552,0,250,250,00:53
0054,103.14812692,19.06454063,8.42217616,0,250,250,00:54
0055,105.62499682,19.33289099,8.43481819,0,250,250,00:55
0056,108.25860691,19.31270862,8.40448944,0,250,250,00:56
0057,111.21281294,19.24144329,8.33530400,0,250,250,00:57
0058,113.95631860,19.30211431,8.34532460,0,250,250,00:58
0059,116.65239207,19.41374385,8.33147329,0,250,250,00:59
0100,119.14196232,19.45915999,8.31319659,0,250,250,01:00
0101,121.53756269,19.30991348,8.28991167,0,250,250,01:01
0102,124.28442281,18.94945348,8.21215076,0,250,250,01:02
0103,126.67105920,18.79117938,8.20819637,0,250,250,01:03
0104,129.70647125,18.67197132,8.18830662,0,250,250,01:04
0105,132.44324317,18.41117991,8.14509722,0,250,250,01:05
0106,135.14265115,18.06909241,7.92334802,0,250,250,01:06
0107,138.07313973,18.10870484,8.12075479,0,250,250,01:07
0108,140.99589234,17.83037809,8.07958190,0,250,250,01:08
0109,144.27829590,17.55478541,8.08618228,0,250,250,01:09
0110,147.42774080,17.54119883,8.10505225,0,250,250,01:10
0111,150.60377171,17.50304089,8.11260991,0,250,250,01:11
0112,153.76688524,17.61581516,8.17833354,0,250,250,01:12
0113,157.16319148,17.85762381,8.19999242,0,250,250,01:13
0114,160.54211299,18.40416455,8.17753327,0,250,250,01:14
0115,163.89170965,19.37937124,8.21299100,0,250,250,01:15
0116,166.84380813,20.69989431,8.16651903,0,250,250,01:16
0117,169.80554644,22.38764906,8.13320661,0,250,250,01:17
0118,172.67434820,24.32459378,8.18855504,0,250,250,01:18
0119,175.44611923,26.46733342,8.24798737,0,250,250,01:19
0120,178.20627594,28.62328402,8.30095875,0,250,250,01:20
0121,180.71659788,30.90916069,8.31538955,0,250,250,01:21
0122,182.95392545,33.30558523,8.33665915,0,250,250,01:22
0123,184.95883378,35.91531389,8.37947837,0,250,250,01:23
0124,186.74212837,38.82529147,8.39386165,0,250,250,01:24
0125,188.11225029,41.76545301,8.44132249,0,250,250,01:25
0126,189.19018289,44.94344562,8.49923565,0,250,250,01:26
0127,189.86270904,48.14440282,8.53030470,0,250,250,01:27
0128,190.47996194,51.90849822,8.52503797,0,250,250,01:28
0129,190.92577667,55.89309196,8.52753830,0,250,250,01:29
0130,191.48579502,58.72857118,8.48820090,0,250,250,01:30
0131,192.07142720,62.03335230,8.47504410,0,250,250,01:31
0132,192.73534698,65.34728928,8.45397320,0,250,250,01:32
0133,193.48601698,68.58926591,8.48227161,0,250,250,01:33
0134,194.04645856,72.05429745,8.53195000,0,250,250,01:34
0135,194.36887013,75.47031923,8.56535838,0,250,250,01:35
0136,194.42546929,79.21310086,8.51182281,0,250,250,01:36
0137,194.55990932,82.48384293,8.54597187,0,250,250,01:37
0138,194.53181126,86.03020013,8.56353660,0,250,250,01:38
0139,195.04373232,89.39363575,8.59207916,0,250,250,01:39
0140,195.56732750,92.75656923,8.60387504,0,250,250,01:40
0141,196.40855853,96.05763022,8.59311962,0,250,250,01:41
0142,197.32364527,99.46995290,8.57976611,0,250,250,01:42
0143,198.11431885,102.87840970,8.60918538,0,250,250,01:43
0144,198.65610504,106.20203463,8.64844712,0,250,250,01:44
0145,199.20670764,109.60306676,8.65065726,0,250,250,01:45
0146,199.82525237,113.01941847,8.66389706,0,250,250,01:46
0147,200.40928318,116.71949072,8.62780210,0,250,250,01:47
0148,201.10940869,120.16090202,8.65043187,0,250,250,01:48
0149,201.72786016,123.67679264,8.64458457,0,250,250,01:49
0150,202.29963748,127.15338198,8.67674319,0,250,250,01:50
0151,203.28687414,130.54656474,8.63797720,0,250,250,01:51
0152,204.61495972,133.98778725,8.62560431,0,250,250,01:52
0153,205.72445424,137.44054985,8.62725298,0,250,250,01:53
0154,207.14660327,140.77866364,8.64939483,0,250,250,01:54
0155,208.34302839,144.30515607,8.62796084,0,250,250,01:55
0156,209.04835828,147.94188817,8.65360403,0,250,250,01:56
0157,209.24894079,151.70442327,8.62090846,0,250,250,01:57
0158,209.35318438,155.40009371,8.63598490,0,250,250,01:58
0159,209.16324171,158.83539136,8.66943932,0,250,250,01:59
0200,209.16204325,162.31853231,8.68753548,0,250,250,02:00
0201,209.16707472,165.84775613,8.71911942,0,250,250,02:01
0202,209.17409793,169.30804929,8.70618283,0,250,250,02:02
0203,209.19723643,173.01331562,8.68432389,0,250,250,02:03
0204,209.02294506,176.52128879,8.64190704,0,250,250,02:04
0205,208.62242325,180.18814817,8.58017921,0,250,250,02:05
0206,208.35867111,183.75937686,8.60748764,0,250,250,02:06
0207,208.49674324,187.31697547,8.62266930,0,250,250,02:07
0208,208.34906515,191.01522319,8.65180047,0,250,250,02:08
0209,208.16593870,194.64804204,8.67482611,0,250,250,02:09
0210,208.17075157,198.17739042,8.69271263,0,250,250,02:10
0211,208.01450030,201.60697937,8.68200175,0,250,250,02:11
0212,207.67307727,205.10113335,8.63023730,0,250,250,02:12
0213,207.34058444,208.69928551,8.60689171,0,250,250,02:13
0214,207.35528119,212.43095334,8.61197464,0,250,250,02:14
0215,207.14225578,216.11173375,8.60755591,0,250,250,02:15
0216,206.99172708,219.42627285,8.65631485,0,250,250,02:16
0217,207.11388143,222.61294810,8.71437077,0,250,250,02:17
0218,206.97226397,226.16520691,8.72048156,0,250,250,02:18
0219,206.71506945,229.61622238,8.72564312,0,250,250,02:19
0220,206.47130521,232.99123192,8.74177937,0,250,250,02:20
0221,206.34027354,236.41150602,8.74353381,0,250,250,02:21
0222,206.24008909,239.93354665,8.68323691,0,250,250,02:22
0223,206.03692182,243.38066610,8.72036199,0,250,250,02:23
0224,206.16478911,246.78099278,8.66783801,0,250,250,02:24
0225,206.19788470,250.71990822,8.60841615,0,250,250,02:25
0226,206.09695289,254.31504022,8.61460572,0,250,250,02:26
0227,205.70747957,257.79624576,8.63170406,0,250,250,02:27
0228,205.39304810,261.23595276,8.62135401,0,250,250,02:28
0229,205.04516311,264.82708450,8.60420477,0,250,250,02:29
0230,204.68803558,268.25331726,8.68301406,0,250,250,02:30
0231,204.43957374,271.82823690,8.70417354,0,250,250,02:31
0232,204.26085033,275.37797480,8.69766501,0,250,250,02:32
0233,204.02105514,279.14999655,8.67283883,0,250,250,02:33
0234,203.80915766,282.70049916,8.64951876,0,250,250,02:34
0235,203.76305598,286.31854526,8.60220419,0,250,250,02:35
0236,203.71087182,290.00743700,8.60555491,0,250,250,02:36
0237,203.24210040,293.76452128,8.56492341,0,250,250,02:37
