视频时间	日期	时间	照片	一级空间	设施类型	缺陷类型	缺陷描述
13	2024-12-16	14:17:06	商铺外围	人行道路	地面	污渍	地面上有分散的污渍。
13	2024-12-16	14:17:06	商铺外围	人行道路	地面	黄土裸露	
13	2024-12-16	14:17:06	商铺外围	人行道路	地面	顽固污渍	
43	2024-12-16	14:17:36	商铺外围	人行道路	地面	污渍	地面上有明显的污渍，影响整体美观。
43	2024-12-16	14:17:36	商铺外围	人行道路	地面	顽固污渍	
52	2024-12-16	14:17:45	商铺外围	人行道路	地面	污渍	地面上有明显污渍。
52	2024-12-16	14:17:45	商铺外围	人行道路	地面	生活垃圾	
115	2024-12-16	14:18:48	商铺外围	人行道路	地面	污渍	地面上有污渍，靠近人行道区域。
115	2024-12-16	14:18:48	商铺外围	人行道路	地面	顽固污渍	
161	2024-12-16	14:19:34	商铺外围	人行道路	地面	污渍	地面有明显的污渍，特别是在自行车和摩托车周围的区域。
161	2024-12-16	14:19:34	商铺外围	人行道路	地面	顽固污渍	
188	2024-12-16	14:20:01	商铺外围	人行道路	地面	污渍	地面上有明显的污渍。
188	2024-12-16	14:20:01	商铺外围	人行道路	地面	顽固污渍	
214	2024-12-16	14:20:27	商铺外围	人行道路	地面	污渍	地面有明显污渍，影响整体清洁度。
214	2024-12-16	14:20:27	商铺外围	人行道路	地面	顽固污渍	
214	2024-12-16	14:20:27	商铺外围	人行道路	天花	污渍	天花板上有水痕迹，可能存在漏水隐患。
264	2024-12-16	14:21:17	商铺外围	人行道路	地面	污渍	地面上存在轻度污渍，影响整体美观。
264	2024-12-16	14:21:17	商铺外围	人行道路	地面	顽固污渍	
286	2024-12-16	14:21:39	商铺外围	人行道路	地面标识	本色未呈现	
286	2024-12-16	14:21:39	商铺外围	人行道路	地面	污渍	
286	2024-12-16	14:21:39	商铺外围	人行道路	地面	顽固污渍	
308	2024-12-16	14:22:01	商铺外围	人行道路	地面	污渍	地面上有明显的污渍。
308	2024-12-16	14:22:01	商铺外围	人行道路	地面	顽固污渍	
308	2024-12-16	14:22:01	商铺外围	人行道路	墙面	污渍	部分墙面上有轻微污渍迹象。
308	2024-12-16	14:22:01	商铺外围	人行道路	天花	污渍	天花板下方有污渍存在。
320	2024-12-16	14:22:13	商铺外围	人行道路	地面	污渍	地面上有明显的污渍，主要集中在走廊区域。
320	2024-12-16	14:22:13	商铺外围	人行道路	地面	顽固污渍	
320	2024-12-16	14:22:13	商铺外围	人行道路	墙面	污渍	靠近楼梯的墙面上存在污渍。
