//X Y Z Scalar_field Scalar_field_#2 Scalar_field_#3 Scalar_field_#4 Scalar_field_#5 Scalar_field_#6 Scalar_field_#7 Scalar_field_#8 Scalar_field_#9 Nx Ny Nz
476
-106.39022064 -107.96913147 -65.87548828 90.390175 33.884056 -1.247752 0.018077 0.005332 0.999822 0.557514 -0.830148 -0.005653 0.829590 0.558088 -0.017826
-106.38213348 -107.94186401 -65.84693146 91.378784 36.304398 -3.116930 0.043819 0.008158 0.999006 0.592075 -0.805650 -0.019391 0.803860 0.593426 -0.040684
-106.39490509 -107.88507080 -65.84695435 90.662720 39.151367 -2.949902 0.039908 0.020939 0.998984 0.631371 -0.775429 -0.008970 0.774975 0.630464 -0.043920
-106.47232819 -107.87677002 -65.88262939 89.208092 48.097389 -1.406978 0.016399 0.032090 0.999350 0.744281 -0.667803 0.009231 0.667534 0.743743 -0.035282
-106.73627472 -108.04534912 -65.90464783 86.096367 70.276588 1.029598 -0.006064 0.051192 0.998670 0.941333 -0.336697 0.022975 0.337548 0.940219 -0.045265
-106.99699402 -108.92116547 -65.93593597 -69.941956 79.106133 159.273239 -0.066886 0.005680 0.997744 0.981979 0.177527 0.064818 -0.176123 0.984217 -0.017267
-106.83187103 -110.31967163 -65.97023010 -84.277847 47.131374 175.347290 -0.055185 -0.040221 0.997666 0.732916 0.676930 0.067831 -0.678782 0.734307 -0.006941
-106.56890106 -111.70346069 -66.05718994 -86.358856 9.410077 178.523361 -0.025423 -0.059281 0.997918 0.163499 0.984552 0.062653 -0.986131 0.165305 -0.014820
-105.83192444 -112.60916138 -66.08012390 -84.093491 -21.487577 -178.056656 0.031554 -0.090491 0.995397 -0.366300 0.925557 0.095753 -0.929954 -0.367656 -0.003817
-104.94293213 -112.81655884 -65.93069458 -88.482094 -51.392570 -179.580460 0.004569 -0.020769 0.999774 -0.781440 0.623762 0.016529 -0.625153 -0.780402 -0.012475
-104.59016418 -112.81246185 -65.89070129 -85.608627 -83.549568 -176.721085 0.006426 -0.019776 0.999784 -0.993669 0.112014 0.008602 -0.113062 -0.993413 -0.018661
-104.58953857 -112.71241760 -65.90409851 83.884018 -81.795135 -7.568005 0.018796 -0.023999 0.999535 -0.989764 -0.141901 0.015205 0.141374 -0.989614 -0.026013
-104.71677399 -111.99938965 -65.93862915 85.588768 -58.644276 -4.191528 0.038033 0.014478 0.999172 -0.853953 -0.518808 0.040022 0.519635 -0.854361 -0.006749
-105.24914551 -110.77088165 -65.95438385 87.582504 -35.468685 -1.273354 0.018099 0.029287 0.999407 -0.580258 -0.813708 0.034353 0.814654 -0.579946 0.001365
-105.75303650 -109.54506683 -66.07740021 87.864944 -8.591381 1.149019 -0.019828 0.040241 0.998993 -0.149387 -0.988092 0.036837 0.988541 -0.148678 0.026104
-106.33147430 -108.55640411 -66.01077271 86.546539 13.805994 2.538039 -0.043003 0.049630 0.997841 0.238635 -0.969346 0.058497 0.970053 0.240999 0.030276
-107.55320740 -108.41489410 -66.08525085 85.491684 40.233299 3.499260 -0.046596 0.039156 0.998146 0.645901 -0.761059 0.060008 0.761664 0.647900 0.009712
-109.42435455 -109.08489227 -65.97950745 74.523560 74.647888 20.032618 -0.090692 -0.067656 0.993578 0.964317 -0.255150 0.070647 0.247877 0.964813 0.087710
-110.20872498 -109.68595886 -65.61059570 -69.103096 71.742989 164.971817 -0.081232 -0.114444 0.990103 0.949661 0.292674 0.111743 -0.301731 0.949605 0.084903
-110.13327026 -110.40209198 -65.53755188 -88.534576 39.365295 -176.252640 0.050529 -0.066959 0.996475 0.634262 0.772865 0.019771 -0.772088 0.630128 0.082569
-110.06951904 -111.05338287 -65.39201355 -88.828400 24.575504 -178.201599 0.028540 -0.033486 0.999032 0.415892 0.909224 0.018595 -0.909414 0.414096 0.038613
-110.12980652 -111.66457367 -65.28298950 -88.872688 4.500856 -179.859207 0.002450 -0.019867 0.999800 0.078474 0.996723 0.019613 -0.996860 0.079116 0.003165
-109.97116852 -111.77690887 -65.29255676 -90.753227 -12.371928 -179.494461 0.008618 0.015036 0.999850 -0.214257 0.976693 -0.012841 -0.976545 -0.215052 0.010576
-109.58152771 -111.64280701 -65.31825256 -89.233315 -29.221331 -177.861496 0.032566 0.004844 0.999458 -0.488185 0.872662 0.011678 -0.872056 -0.488406 0.031291
-108.84437561 -111.10234833 -65.35829163 -88.685135 -47.212963 -177.050873 0.034948 0.014832 0.999279 -0.733884 0.679096 0.015587 -0.679322 -0.732990 0.035308
-108.08322906 -110.78060150 -65.41639709 -86.419640 -74.027519 -177.102997 0.013908 -0.013874 0.999807 -0.961394 0.274639 0.017184 -0.273587 -0.961810 -0.008512
-107.62644196 -110.20186615 -65.43429565 -81.594299 -83.340279 -172.056549 0.016027 -0.008990 0.999831 -0.993252 0.114727 0.016953 -0.114249 -0.993423 -0.007617
-107.55438995 -110.12103271 -65.42834473 44.858299 -87.424797 -46.524693 0.032605 -0.023618 0.999189 -0.998990 -0.031692 0.031849 0.031901 -0.999211 -0.023668
-107.63375092 -110.22138214 -65.35757446 89.999374 -82.905190 0.158468 -0.000342 0.002756 0.999996 -0.992343 -0.123512 0.000001 0.123362 -0.992356 0.003275
-107.74877167 -110.36391449 -65.32342529 -167.536713 -88.393303 104.095436 -0.027194 0.028565 0.999222 -0.999607 0.006051 -0.027378 -0.007075 -0.999545 0.029309
-107.70217133 -110.54718781 -65.40994263 -79.686798 -83.573280 -168.189941 0.022909 0.024857 0.999429 -0.993716 0.110124 0.020039 -0.109179 -0.993640 0.027570
-107.51988220 -110.36143494 -65.20324707 -90.925934 -69.882675 -178.109314 0.011348 0.047127 0.998824 -0.938990 0.343899 -0.005558 -0.343744 -0.937836 0.047994
-107.12714386 -110.16972351 -65.33178711 -86.172272 -68.463028 -173.728592 0.040102 0.035028 0.998581 -0.930181 0.366283 0.024507 -0.365749 -0.929449 0.048504
-105.99945831 -110.69897461 -65.99351501 -91.174179 -63.489914 -177.075027 0.022777 0.066119 0.997552 -0.894856 0.446262 -0.009147 -0.446663 -0.891952 0.070092
-105.19381714 -111.17852783 -65.89149475 -90.938179 -54.963730 -179.393326 0.006079 0.025041 0.999668 -0.818789 0.574018 -0.009400 -0.574511 -0.818159 0.023534
-105.04099274 -111.41907501 -65.95724487 -89.242493 -42.472752 179.689743 -0.003994 -0.016877 0.999850 -0.675240 0.737534 0.009751 -0.737010 -0.675708 -0.015325
-104.81689453 -112.29927063 -65.96504974 -87.640839 -59.245037 -176.772568 0.028790 0.007242 0.999559 -0.859362 0.510934 0.021050 -0.509585 -0.860179 0.020383
-104.15284729 -112.74188995 -66.00831604 -85.455238 -67.789200 -174.281738 0.037664 0.013110 0.999204 -0.925799 0.376827 0.029953 -0.375505 -0.926419 0.027286
-103.11513519 -112.97041321 -65.96679688 -82.687378 -76.878456 -172.480911 0.029707 0.000215 0.999559 -0.973891 0.225171 0.028895 -0.225028 -0.974335 0.005891
-101.67791748 -113.22255707 -65.98538208 -56.091293 -85.650871 -147.503632 0.040741 -0.025931 0.998833 -0.997120 0.062937 0.042305 -0.064673 -0.997658 -0.022264
-100.28654480 -112.97227478 -66.07533264 -76.586746 -85.970207 -165.195099 0.017957 0.023672 0.999559 -0.997528 0.068358 0.016302 -0.067064 -0.997448 0.024484
-98.82783508 -112.83994293 -66.02142334 -45.794163 -85.954880 -135.688599 0.049278 0.000595 0.998785 -0.997509 0.050567 0.049185 -0.050399 -0.998724 0.003086
-97.03440857 -112.89086151 -66.05239868 72.081215 -85.808479 -17.156151 0.021560 0.014061 0.999669 -0.997325 -0.069545 0.022488 0.070717 -0.997429 0.011610
-95.35614014 -112.72302246 -66.03747559 24.644707 -87.454857 -65.809166 0.040507 -0.007546 0.999151 -0.999014 -0.018517 0.040362 0.019053 -0.999778 -0.009025
-93.99661255 -112.47300720 -66.00511169 90.506386 -72.200897 -0.345839 0.001845 -0.014585 0.999892 -0.952134 -0.305668 -0.002702 0.306503 -0.951772 -0.013650
-93.32453156 -112.00643921 -65.93771362 95.725769 -58.923573 6.005242 -0.054003 -0.010062 0.998490 -0.856480 -0.513606 -0.051498 0.514788 -0.857075 0.020374
-93.33152008 -111.77001190 -65.95193481 94.179359 -6.064308 0.805351 -0.013977 -0.071391 0.997351 -0.105645 -0.991760 -0.072471 0.994233 -0.107105 0.005409
-94.00577545 -111.82595825 -66.01943970 92.301331 36.002079 -0.817517 0.011543 -0.031771 0.999429 0.587815 -0.808343 -0.032485 0.808283 0.588716 0.009606
-95.48120117 -112.16979980 -66.04836273 91.754379 65.040131 0.416922 -0.003071 -0.037208 0.999303 0.906604 -0.421786 -0.012919 0.421738 0.906006 0.035921
-97.20474243 -112.21880341 -66.15458679 38.582253 87.329460 50.085342 -0.035737 0.023772 0.999078 0.998914 -0.029057 0.036422 0.029783 0.999277 -0.023621
-98.88675690 -112.40386200 -66.11614990 -56.194935 84.569962 146.038300 -0.052864 0.000651 0.998601 0.995512 0.078632 0.052649 -0.079115 0.996852 -0.005274
-100.45363617 -112.47990417 -66.10424042 -12.648904 87.326538 102.950676 -0.045457 -0.005499 0.998951 0.998912 0.010214 0.045512 -0.010901 0.999928 0.004955
-102.25722504 -112.50136566 -66.08117676 -53.586826 83.476151 143.104050 -0.068211 0.005298 0.997657 0.993525 0.091434 0.067443 -0.091109 0.995771 -0.011791
-103.74389648 -112.58171844 -66.09968567 61.368855 79.985733 29.871992 -0.086610 -0.014995 0.996129 0.984764 -0.152630 0.083324 0.151567 0.988036 0.028490
-104.95897675 -111.98590088 -66.13938904 79.474670 62.604382 9.686211 -0.077418 0.033197 0.996446 0.887851 -0.452390 0.084052 0.453006 0.891483 0.006604
-105.51654053 -111.38751984 -66.10269928 84.742851 26.014788 1.217637 -0.019097 0.082324 0.996423 0.438603 -0.894901 0.082342 0.898706 0.438103 -0.019854
