# boujou export: text
# Creation date : Fri Jan 10 14:16:21 2025
# The image sequence file name was 
# boujou frame 0 is image sequence file 1
# boujou frame 475 is image sequence file 476
# One boujou frame for every image sequence frame
# Exporting camera data for boujou frames 0 to 475
# First boujou frame indexed to animation frame 1
#The Camera (One line per time frame)
#Image Size 3840 1920
#Line Format: Camera Rotation Matrix (9 numbers - 1st row, 2nd row, 3rd row) Camera Translation (3 numbers) Focal Length (mm)
#rotation applied before translation
#R(0,0)	R(0,1)	R(0,2)	R(1,0)	R(1,1)	R(1,2)	R(2,0)	R(2,1)	R(2,2)	Tx	Ty	Tz	F(pix)
8.2997060911109211e-01	5.5751728590563165e-01	-1.7979541934687288e-02	-1.8077450777100892e-02	-5.3318444504035639e-03	-9.9982237282837327e-01	-5.5751411980788812e-01	8.3014820806358136e-01	5.6532171071554966e-03	-6.3902189454613101e+00	-7.9691333919543279e+00	3.4124506148539886e+01	6.1115498147287815e+02
8.0469065751292201e-01	5.9233631574658274e-01	-4.0132714326174684e-02	-4.3818959934470908e-02	-8.1577338272088920e-03	-9.9900618122665608e-01	-5.9207503279709661e-01	8.0564951463187107e-01	1.9391109090199858e-02	-6.3821304807854862e+00	-7.9418628904910147e+00	3.4153068120484420e+01	6.1115498147287815e+02
7.7445309846854093e-01	6.3108774079308105e-01	-4.4166295895876409e-02	-3.9908369701877174e-02	-2.0938862036806071e-02	-9.9898392683983772e-01	-6.3137130145439402e-01	7.7542880232635736e-01	8.9695162910830538e-03	-6.3949045257020263e+00	-7.8850687010316083e+00	3.4153051202512295e+01	6.1115498147287815e+02
6.6766509564806731e-01	7.4364630717788449e-01	-3.4835181554756102e-02	-1.6398742131645456e-02	-3.2090102688447836e-02	-9.9935044232038306e-01	-7.4428113056140077e-01	6.6780266181720238e-01	-9.2305774522787251e-03	-6.4723312725066959e+00	-7.8767678350374517e+00	3.4117369336672660e+01	6.1115498147287815e+02
3.3742548102522479e-01	9.4022045291009293e-01	-4.6146989982398308e-02	6.0641461694879786e-03	-5.1192069831516369e-02	-9.9867041516087829e-01	-9.4133270998416441e-01	3.3669700312878537e-01	-2.2975143045565308e-02	-6.7362770168285442e+00	-8.0453480899055290e+00	3.4095356588766847e+01	6.1115498147287815e+02
-1.7675865257472795e-01	9.8409949420442322e-01	-1.7451769152874795e-02	6.6885896882418319e-02	-5.6800608757910740e-03	-9.9774446313005538e-01	-9.8197894862272950e-01	-1.7752724414873927e-01	-6.4818377384449191e-02	-6.9969958907724141e+00	-8.9211657833123823e+00	3.4064062630678322e+01	6.1115498147287815e+02
-6.7807774567231172e-01	7.3494796896569525e-01	-7.8774194477206818e-03	5.5184676750016398e-02	4.0221173513446215e-02	-9.9766572991819158e-01	-7.3291556285560788e-01	-6.7692964192329552e-01	-6.7830948759744977e-02	-6.8318724340045138e+00	-1.0319667670269014e+01	3.4029765468986795e+01	6.1115498147287815e+02
-9.8621580261722019e-01	1.6475179215565466e-01	-1.5337459032463904e-02	2.5422646250330014e-02	5.9281273592863039e-02	-9.9791754151274403e-01	-1.6349947928266662e-01	-9.8455196794415489e-01	-6.2652555347637293e-02	-6.5689020065266615e+00	-1.1703460618114519e+01	3.3942815318672466e+01	6.1115498147287815e+02
-9.2996182542912020e-01	-3.6763496702266873e-01	-3.9413534198381606e-03	-3.1554330893261748e-02	9.0490673220916307e-02	-9.9539728865509003e-01	3.6629950511353077e-01	-9.2555711281490693e-01	-9.5753347050200249e-02	-5.8319226998357250e+00	-1.2609161501206328e+01	3.3919873697905821e+01	6.1115498147287815e+02
-6.2396421415556669e-01	-7.8133836860501449e-01	-1.3379581416504426e-02	-4.5689857195077618e-03	2.0768773260710860e-02	-9.9977386564499704e-01	7.8143955864975345e-01	-6.2376198329402865e-01	-1.6528895134854654e-02	-4.9429317765013288e+00	-1.2816562036511980e+01	3.4069308843420465e+01	6.1115498147287815e+02
-1.1215967979093316e-01	-9.9350985447626250e-01	-1.8930802617733777e-02	-6.4256788523497964e-03	1.9775759257615023e-02	-9.9978379162550535e-01	9.9366942032070316e-01	-1.1201378667084311e-01	-8.6020180874657945e-03	-4.5901643738878626e+00	-1.2812463529822526e+01	3.4109293408830681e+01	6.1115498147287815e+02
1.4146984848888849e-01	-9.8958992429027592e-01	-2.6420895361380564e-02	-1.8795708349640419e-02	2.3999426519438965e-02	-9.9953526644854995e-01	9.8976411498708450e-01	1.4190070214732625e-01	-1.5204848369178214e-02	-4.5895358346064015e+00	-1.2712414342248319e+01	3.4095906671279565e+01	6.1115498147287815e+02
5.1895809889630673e-01	-8.5476791985007372e-01	-7.3684995154462375e-03	-3.8032755573659108e-02	-1.4477626863271857e-02	-9.9917161079760608e-01	8.5395316094819018e-01	5.1880844395170167e-01	-4.0022461081357090e-02	-4.7167732826972095e+00	-1.1999387531082208e+01	3.4061373870029954e+01	6.1115498147287815e+02
8.1423165939650133e-01	-5.8053567100203685e-01	2.2670532933414655e-03	-1.8098647206183458e-02	-2.9287090748460025e-02	-9.9940717692279846e-01	5.8025791145466188e-01	8.1370793348086923e-01	-3.4353386799085235e-02	-5.2491480553026939e+00	-1.0770880977305872e+01	3.4045617043384865e+01	6.1115498147287815e+02
9.8858004315811898e-01	-1.4850580411594277e-01	2.5603210997236784e-02	1.9827812841086773e-02	-4.0241220056087795e-02	-9.9899324424459279e-01	1.4938659949082000e-01	9.8809244018577269e-01	-3.6837121769956321e-02	-5.7530334548878725e+00	-9.5450675899196202e+00	3.3922601523052265e+01	6.1115498147287815e+02
9.7015670177365287e-01	2.4063552966968027e-01	2.9841512432520808e-02	4.3003304803345833e-02	-4.9630437747446798e-02	-9.9784143801757796e-01	-2.3863505563864290e-01	9.6934584205514052e-01	-5.8497424821545144e-02	-6.3314774472598696e+00	-8.5564014799843342e+00	3.3989232320982772e+01	6.1115498147287815e+02
7.6199746014944991e-01	6.4750012969995319e-01	1.0171173203313805e-02	4.6595881182405013e-02	-3.9156171840547628e-02	-9.9814609054167469e-01	-6.4590145887946626e-01	7.6105872062892610e-01	-6.0007742600763414e-02	-7.5532109354462591e+00	-8.4148946933427631e+00	3.3914746513292165e+01	6.1115498147287815e+02
